Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P74694	slr0455		Slr0455 protein	141	15,791		syn:slr0455;
P74486	sll1862		Sll1862 protein	143	15,194		syn:sll1862;
P74243	sll1092		Sll1092 protein	128	14,814		syn:sll1092;
P72971	slr1593		Slr1593 protein	303	33,887		syn:slr1593;
P74105	slr1966		Lysozyme (EC 3.2.1.17)	243	27,747	3.2.1.17	syn:slr1966;
P74264	slr1676		Slr1676 protein	163	18,084		syn:slr1676;
P74156	slr1472		Slr1472 protein	164	18,701		syn:slr1472;
Q55861	slr0619		Slr0619 protein	348	38,288		syn:slr0619;
P73984	slr2117		Slr2117 protein	181	21,303		syn:slr2117;
P73094	slr2052		Slr2052 protein	298	32,622		syn:slr2052;
P74046	slr0813		Ceramide glucosyltransferase	389	43,587		syn:slr0813;
P74016	ymxG	ymxG	Processing protease	513	56,894		syn:slr1331;
Q6ZEF4	sll7044		Sll7044 protein	193	20,670		syn:sll7044;
Q55197	pstA	pstA	Phosphate transport system permease protein PstA	287	30,172		syn:sll0682;
P73791	sll1151		Sll1151 protein	605	66,573		syn:sll1151;
Q55189	vapC	vapC	Virulence associated protein C	133	14,763		syn:sll0690;
Q6ZEA7	slr7091		Slr7091 protein	122	13,218		syn:slr7091;
P74024	hoxF	hoxF	Hydrogenase subunit	533	57,774		syn:sll1221;
P73688	csgA	csgA	Cell-cell signaling protein, C-factor	256	28,444		syn:sll1704;
P72908	yefA	yefA	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	320	35,703	4.2.1.47	syn:slr1072;
P74797	ssr0332		Ssr0332 protein	70	8,177		syn:ssr0332;
P72756	sll1033		Sll1033 protein	668	73,712		syn:sll1033;
P73482	slr1235		Slr1235 protein	293	32,776		syn:slr1235;
P72709	slr0250		Slr0250 protein	178	19,184		syn:slr0250;
P72987	slr1601		Slr1601 protein	125	14,710		syn:slr1601;
P73812	slr2060		Slr2060 protein	465	53,072		syn:slr2060;
P74359	sll1527		Sll1527 protein	1168	133,427		syn:sll1527;
P72643	trx	trx	Thioredoxin M	126	14,633		syn:sll1057;
Q6ZEA2	slr7096		Slr7096 protein	137	15,830		syn:slr7096;
P74668	degT	degT	Pleiotropic regulatory protein	385	41,597		syn:slr1666;
P73977	sll1997		Transposase	155	17,691		syn:sll1997;
P74010	slr1327		Slr1327 protein	144	16,460		syn:slr1327;
P73479	frdA	frdA	Succinate dehydrogenase flavoprotein subunit	575	63,702		syn:slr1233;
P74234	rpiB	rpiB	Ribose phosphate isomerase B	98	10,695		syn:ssl2153;
Q55173	slr0479		Slr0479 protein	240	28,179		syn:slr0479;
Q55719	sll0609		Sll0609 protein	121	13,499		syn:sll0609;
Q6ZET4	sll5046		Uncharacterized protein	316	36,829		syn:sll5046;
Q55413	slr0825		Slr0825 protein	637	70,175		syn:slr0825;
P72909	slr1073		Slr1073 protein	384	43,527		syn:slr1073;
P73331	slr1903		Transposase	138	16,517		syn:slr1903;
Q55616	sll0762		Sll0762 protein	116	12,767		syn:sll0762;
P72812	sll1658		Sll1658 protein	158	17,405		syn:sll1658;
P72974	sll1516		Sll1516 protein	624	70,943		syn:sll1516;
Q55808	crtO	crtO	B-carotene ketolase	542	59,400		syn:slr0088;
P72632	rffM	rffM	UDP-N-acetyl-D-mannosaminuronic acid transferase	251	28,135		syn:slr1118;
P73196	lig	lig	DNA ligase	562	61,469		syn:sll1583;
Q55809	erg6	erg6	Delta(24)-sterol C-methyltransferase	317	35,571		syn:slr0089;
Q55466	sll0518		Sll0518 protein	385	43,119		syn:sll0518;
Q55171	slr0476		Slr0476 protein	136	14,394		syn:slr0476;
Q6ZE83	sll8009		Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	499	56,379	2.1.1.72	syn:sll8009;
Q6ZEB9	ssr7079		Uncharacterized protein	73	8,540		syn:ssr7079;
P73928	slr2100		Regulatory components of sensory transduction system	368	40,699		syn:slr2100;
P73597	sll1306		Sll1306 protein	335	38,271		syn:sll1306;
Q55561	sll0167		Sll0167 protein	164	17,865		syn:sll0167;
P72616	ssl2733		Ssl2733 protein	76	8,756		syn:ssl2733;
Q55698	slr0226		Slr0226 protein	482	50,849		syn:slr0226;
P72599	fhuA	fhuA	Ferrichrome-iron receptor	863	95,027		syn:sll1409;
P72614	sll1401		Sll1401 protein	336	39,378		syn:sll1401;
P73539	bioY	bioY	Biotin transporter	217	23,500		syn:slr1365;
P73550	sll1267		Sll1267 protein	196	21,737		syn:sll1267;
P72707	sll0224		Sll0224 protein	298	32,830		syn:sll0224;
P73559	slr0878		Slr0878 protein	245	25,987		syn:slr0878;
P74280	slr1684		Transposase	150	18,316		syn:slr1684;
P73279	slr1150		Slr1150 protein	170	18,996		syn:slr1150;
Q55516	slr0554		Slr0554 protein	1036	116,500		syn:slr0554;
P74627	slr1585		Transposase	128	14,746		syn:slr1585;
P72997	sll1504		Sll1504 protein	102	12,035		syn:sll1504;
P72809	pleD	pleD	PleD gene product	585	65,725		syn:slr1798;
Q55910	slr0306		Slr0306 protein	506	55,301		syn:slr0306;
Q55915	sll0282		Sll0282 protein	326	36,333		syn:sll0282;
P73981	spsC	spsC	Spore coat polysaccharide biosynthesis protein SpsC	345	38,405		syn:slr2114;
P73762	sll0837		Sll0837 protein	294	32,907		syn:sll0837;
P73929	slr2101		Slr2101 protein	143	15,349		syn:slr2101;
P72976	slr1597		Slr1597 protein	298	33,061		syn:slr1597;
P73699	slr1814		Slr1814 protein	154	18,448		syn:slr1814;
P73991	slr2124		Short-chain alcohol dehydrogenase family	249	26,493		syn:slr2124;
P74174	petC	petC	Cytochrome b6/f complex iron-sulfur subunit	133	13,720		syn:sll1182;
P74725	sll0577		Sll0577 protein	169	17,839		syn:sll0577;
P73474	slr1229		Slr1229 protein	498	54,495		syn:slr1229;
P72960	ssr1155		Ssr1155 protein	67	7,851		syn:ssr1155;
Q55962	slr0700		Slr0700 protein	452	48,006		syn:slr0700;
P72841	slr1303		Slr1303 protein	410	48,062		syn:slr1303;
P73621	slr1869		Slr1869 protein	252	27,894		syn:slr1869;
P73255	slr2030		Slr2030 protein	451	50,346		syn:slr2030;
P72949	lim	lim	Lipophilic protein	358	38,524		syn:sll0648;
P74807	ssr1175		Transposase	94	10,993		syn:ssr1175;
Q6ZEK1	ssl5129		Ssl5129 protein	64	7,566		syn:ssl5129;
P72671	slr0727		Slr0727 protein	324	39,200		syn:slr0727;
P72850	slr1307		Slr1307 protein	195	22,896		syn:slr1307;
P74418	slr0392		Slr0392 protein	131	15,373		syn:slr0392;
Q55980	sll0662		Ferredoxin	133	15,129		syn:sll0662;
Q55145	chlG	chlG	Chlorophyll a synthase	324	35,208		syn:slr0056;
P73051	slr1770		Slr1770 protein	111	12,991		syn:slr1770;
P74001	sll1239		Sll1239 protein	178	20,608		syn:sll1239;
P73249	slr2027		Slr2027 protein	464	51,553		syn:slr2027;
P74011	sll1233		Sll1233 protein	294	33,205		syn:sll1233;
Q6ZEX9	ssl5001		Uncharacterized protein	59	7,052		syn:ssl5001;
P74544	sll1367		Sll1367 protein	261	30,066		syn:sll1367;
P74404	sll0263		Sll0263 protein	239	27,311		syn:sll0263;
P74620	sll1476		Sll1476 protein	102	11,425		syn:sll1476;
P72819	sll1652		Sll1652 protein	136	15,456		syn:sll1652;
Q55925	slr0318		Slr0318 protein	203	23,138		syn:slr0318;
Q6ZEU1	ssl5039		Uncharacterized protein	97	11,597		syn:ssl5039;
Q55546	sll0294		Sll0294 protein	400	45,575		syn:sll0294;
P73149	sll0984		Sll0984 protein	148	16,947		syn:sll0984;
P73015	slr1050		Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	477	54,742	2.4.1.109	syn:slr1050;
P74517	nlpD	nlpD	Lipoprotein NlpD	715	75,377		syn:slr0993;
P72755	slr1107		Slr1107 protein	444	50,980		syn:slr1107;
P74749	sll0563		Sll0563 protein	210	23,417		syn:sll0563;
P74291	slr1690		Slr1690 protein	261	30,043		syn:slr1690;
P73939	slr1503		Slr1503 protein	330	36,512		syn:slr1503;
P73774	sll1161		Adenylate cyclase	335	37,099		syn:sll1161;
P73970	ssl2749		Ssl2749 protein	96	10,627		syn:ssl2749;
P73384	slr1827		Slr1827 protein	263	29,749		syn:slr1827;
Q55409	slr0582		Slr0582 protein	126	14,669		syn:slr0582;
P72696	slr0241		Slr0241 protein	281	31,695		syn:slr0241;
P74746	slr0600		Slr0600 protein	326	35,993		syn:slr0600;
Q55950	sll0783		Sll0783 protein	160	17,641		syn:sll0783;
Q6ZEC3	sll7075		Uncharacterized protein	346	39,679		syn:sll7075;
P74000	sll1240		Sll1240 protein	157	18,907		syn:sll1240;
P74252	sll1087		Sodium-coupled permease	512	54,360		syn:sll1087;
Q55493	slr0545		Auxin-induced protein	314	34,633		syn:slr0545;
P74319	slr0950		Slr0950 protein	274	30,027		syn:slr0950;
P73405	pdhB	pdhB	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)	324	35,709	1.2.4.1	syn:sll1721;
P73523	slr1450		Slr1450 protein	104	11,258		syn:slr1450;
P73514	slr1442		Slr1442 protein	285	31,950		syn:slr1442;
P73424	slr1540		Slr1540 protein	311	35,093		syn:slr1540;
P72737	slr1094		Slr1094 protein	261	29,519		syn:slr1094;
P72998	sll1503		Sll1503 protein	508	60,114		syn:sll1503;
P74538	slr1429		Slr1429 protein	289	32,818		syn:slr1429;
P73281	sll1071		Sll1071 protein	275	30,533		syn:sll1071;
Q6ZEK2	sll5128		Uncharacterized protein	345	39,454		syn:sll5128;
P72764	slr1110		Slr1110 protein	192	21,664		syn:slr1110;
P73588	sll1315		Sll1315 protein	352	38,968		syn:sll1315;
P73982	slr2115		Slr2115 protein	522	61,748		syn:slr2115;
P73983	spsA	spsA	Spore coat polysaccharide biosynthesis protein SpsA	276	32,717		syn:slr2116;
Q55920	slr0313		Slr0313 protein	185	20,903		syn:slr0313;
Q6ZEK5	ssl5125		Uncharacterized protein	74	8,037		syn:ssl5125;
P74154	slr1470		Slr1470 protein	131	14,902		syn:slr1470;
P74452	sll0149		Sll0149 protein	584	65,813		syn:sll0149;
P73183	hliA	hliA	High light-inducible protein	70	7,868		syn:ssl2542;
P73583	sll0863		Sll0863 protein	133	15,658		syn:sll0863;
Q55586	sphS	sphS	Regulation of the phosphate regulon	430	48,622		syn:sll0337;
P74239	ssl2148		Ssl2148 protein	98	10,566		syn:ssl2148;
P74688	sll0441		Sll0441 protein	460	53,885		syn:sll0441;
Q6YS03	slr6001		Two-component hybrid sensor and regulator	862	96,899		syn:slr6001;
Q6ZE74	sll8018		Sll8018 protein	530	58,947		syn:sll8018;
Q6YRP5	sll6109		Sll6109 protein	187	21,327		syn:sll6109;
P74617	sll1481		Sll1481 protein	451	48,591		syn:sll1481;
P72638	ssl2069		Ssl2069 protein	83	9,351		syn:ssl2069;
Q6ZE55	slr8037		Slr8037 protein	416	46,920		syn:slr8037;
Q55477	slr0535		Serine proteinase	613	65,879		syn:slr0535;
Q55485	sll0503		Sll0503 protein	474	51,159		syn:sll0503;
P72774	cad	cad	Lysine decarboxylase	483	51,841		syn:sll1683;
P74778	ssl1533		Ssl1533 protein	72	7,988		syn:ssl1533;
Q55654	slr0358		Slr0358 protein	374	42,417		syn:slr0358;
Q55755	sll0371		Sll0371 protein	521	60,847		syn:sll0371;
P73223	sll1925		Sll1925 protein	238	25,843		syn:sll1925;
Q55475	slr0533		Histidine kinase (EC 2.7.13.3)	405	44,994	2.7.13.3	syn:slr0533;
P72742	slr1098		Slr1098 protein	252	27,675		syn:slr1098;
P73099	sll1930		Transposase	164	18,511		syn:sll1930;
P74568	slr0656		Slr0656 protein	398	46,700		syn:slr0656;
P74253	sll1086		Sll1086 protein	155	16,637		syn:sll1086;
P74417	slr0294		Slr0294 protein	159	18,041		syn:slr0294;
P73830	slr1999		Slr1999 protein	136	14,996		syn:slr1999;
P73086	slr2044		ABC transporter	289	32,011		syn:slr2044;
Q55394	sll0549		Sll0549 protein	249	28,207		syn:sll0549;
P74461	sll0142		Cation or drug efflux system protein	1075	115,189		syn:sll0142;
P74196	slr1283		Transposase	157	17,669		syn:slr1283;
Q6ZEK0	sll5130		Sll5130 protein	135	15,969		syn:sll5130;
P73170	pobA	pobA	Phenoxybenzoate dioxygenase	338	39,254		syn:sll1297;
Q55844	slr0521		Slr0521 protein	337	37,305		syn:slr0521;
Q55728	dacB	dacB	Penicillin-binding protein 4	486	53,027		syn:slr0646;
P72765	slr1772		Slr1772 protein	377	41,665		syn:slr1772;
P73222	slr2005		Slr2005 protein	261	27,975		syn:slr2005;
Q6YRQ4	slr6100		Slr6100 protein	106	12,341		syn:slr6100;
Q55779	slr0207		Gluconokinase (EC 2.7.1.12)	540	62,713	2.7.1.12	syn:slr0207;
Q55172	purN	purN	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	217	23,538	2.1.2.2	syn:slr0477;
Q55573	slr0184		Slr0184 protein	206	23,734		syn:slr0184;
P73050	fbp	fbp	Ferripyochelin binding protein	190	19,548		syn:sll1636;
P73943	slr1505		Slr1505 protein	198	22,551		syn:slr1505;
P72719	bcp	bcp	Bacterioferritin comigratory protein	184	20,376		syn:sll0221;
Q55440	sps	sps	Sucrose-phosphate synthase (EC 2.4.1.14)	720	81,412	2.4.1.14	syn:sll0045;
Q55160	accC	accC	Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2)	448	49,164	6.3.4.14; 6.4.1.2	syn:sll0053;
Q55683	ponA	ponA	Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase)	885	95,559	2.4.1.129	syn:sll0002;
Q55895	brkB	brkB	Serum resistance locus BrkB	318	35,848		syn:slr0119;
P73049	slr1768		Slr1768 protein	298	32,828		syn:slr1768;
Q6ZEH2	slr7026		Uncharacterized protein	125	14,702		syn:slr7026;
P72783	sll1678		Spore maturation protein A	182	19,548		syn:sll1678;
P74345	slr1628		Slr1628 protein	134	14,546		syn:slr1628;
Q55596	fabG	fabG	3-ketoacyl-acyl carrier protein reductase	259	28,352		syn:sll0330;
Q6ZE98	slr7100		Uncharacterized protein	449	50,246		syn:slr7100;
P73062	sll1749		Sll1749 protein	156	18,362		syn:sll1749;
P72944	slr0680		Slr0680 protein	140	15,731		syn:slr0680;
P74439	slr0407		Slr0407 protein	270	30,586		syn:slr0407;
P74406	slr0284		Slr0284 protein	116	12,648		syn:slr0284;
P73927	slr2099		Hybrid sensory kinase	366	40,364		syn:slr2099;
P74680	sll0448		Sll0448 protein	401	45,112		syn:sll0448;
P74233	slr1160		Slr1160 protein	204	22,261		syn:slr1160;
P73965	hflX	hflX	GTPase HflX (GTP-binding protein HflX)	534	58,540		syn:slr1521;
P73575	slr0887		Slr0887 protein	269	31,272		syn:slr0887;
P72869	sll0930		Sll0930 protein	197	22,143		syn:sll0930;
P74321	sll0910		Sll0910 protein	363	41,421		syn:sll0910;
P73914	shc	shc	Squalene-hopene-cyclase	647	72,093		syn:slr2089;
Q55112	sll0414		Sll0414 protein	286	31,502		syn:sll0414;
P74176	hlyB	hlyB	HlyB family	1011	112,089		syn:sll1180;
P74047	sll0812		Sll0812 protein	153	17,663		syn:sll0812;
Q6ZE82	ssl8010		Type I restriction-modification system M subunit	59	6,797		syn:ssl8010;
P74440	slr0408		Slr0408 protein	4199	442,444		syn:slr0408;
P72899	slr1063		Slr1063 protein	689	79,963		syn:slr1063;
P73680	sll2002		Sll2002 protein	292	32,871		syn:sll2002;
Q6YRQ9	slr6095		Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	477	53,533	2.1.1.72	syn:slr6095;
P73147	sll0986		Transposase	128	15,065		syn:sll0986;
Q55576	slr0359		Slr0359 protein	1244	141,662		syn:slr0359;
P72654	slr1127		Slr1127 protein	263	28,171		syn:slr1127;
Q6ZEX6	sll5004		Sll5004 protein	103	11,640		syn:sll5004;
P73522	slr1449		Slr1449 protein	199	23,964		syn:slr1449;
P74708	sll1109		Sll1109 protein	194	22,040		syn:sll1109;
Q55532	ribC	ribC	Riboflavin synthase alpha chain	226	24,379		syn:sll0300;
Q55947	sll0786		Sll0786 protein	192	22,245		syn:sll0786;
P74004	slr1324		Hybrid sensory kinase	420	46,785		syn:slr1324;
Q6ZES3	sll5057		Sll5057 protein	317	35,731		syn:sll5057;
Q55601	slr0386		Slr0386 protein	412	46,744		syn:slr0386;
Q55754	sll0372		Sll0372 protein	198	22,615		syn:sll0372;
Q6YRW5	slr6039		Slr6039 protein	196	22,852		syn:slr6039;
P73518	recJ	recJ	Single-stranded-DNA-specific exonuclease RecJ	759	84,236		syn:sll1354;
P73679	cefD	cefD	Isopenicillin N epimerase	401	43,999		syn:slr2143;
Q55826	sll0482		Sll0482 protein	407	45,346		syn:sll0482;
Q55887	slr0111		Slr0111 protein	173	19,377		syn:slr0111;
P73217	sll1570		Sll1570 protein	243	26,620		syn:sll1570;
P72763	ank	ank	Erythroid ankyrin	441	46,817		syn:slr1109;
Q55883	sll0096		Sll0096 protein	448	49,778		syn:sll0096;
P72838	ssr2153		Ssr2153 protein	65	7,131		syn:ssr2153;
P73642	sll1763		Sll1763 protein	134	14,115		syn:sll1763;
P74570	slr0658		Slr0658 protein	331	37,594		syn:slr0658;
Q55455	sll0033		Prolycopene isomerase (EC 5.2.1.13)	501	55,772	5.2.1.13	syn:sll0033;
P73449	nrtD	nrtD	Nitrate transport protein NrtD	332	36,564		syn:sll1453;
P73845	sll1608		Sll1608 protein	770	87,815		syn:sll1608;
P72645	slr1122		Slr1122 protein	250	28,176		syn:slr1122;
P74322	sll0909		Sll0909 protein	228	26,368		syn:sll0909;
Q55796	hisB	hisB	D,D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)	161	17,385	3.1.3.-	syn:sll0084;
Q6ZEI8	slr7010		Uncharacterized protein	722	82,327		syn:slr7010;
P73034	sll1647		Sll1647 protein	172	19,576		syn:sll1647;
P74496	sll1849		Sll1849 protein	211	24,155		syn:sll1849;
P73347	ssr2009		Ssr2009 protein	90	10,325		syn:ssr2009;
P73612	slr1862		Slr1862 protein	234	26,851		syn:slr1862;
P74274	sll1562		Sll1562 protein	154	17,497		syn:sll1562;
P74800	ssr1038		Ssr1038 protein	78	9,038		syn:ssr1038;
Q55162	sll0051		Sll0051 protein	159	17,799		syn:sll0051;
P72768	slr1773		Slr1773 protein	258	28,886		syn:slr1773;
Q55660	slr0001		Slr0001 protein	160	17,451		syn:slr0001;
P74048	slr0815		Slr0815 protein	121	13,766		syn:slr0815;
P73743	sll0857		Sll0857 protein	138	15,416		syn:sll0857;
P73598	sll1305		Sll1305 protein	295	32,885		syn:sll1305;
P73484	ssl2250		Glycoprotein 64	58	6,143		syn:ssl2250;
Q55618	ycf38	ycf38	Transport permease protein	294	31,678		syn:sll0760;
Q6ZES2	slr5058		Slr5058 protein	783	89,416		syn:slr5058;
P74031	ssr1375		Ssr1375 protein	64	7,117		syn:ssr1375;
P74785	ssl0312		Ssl0312 protein	66	7,784		syn:ssl0312;
P74379	slr0443		Slr0443 protein	125	14,609		syn:slr0443;
Q55447	sll0039		CheY subfamily	119	13,181		syn:sll0039;
P74634	sll0732		Sll0732 protein	191	21,467		syn:sll0732;
Q55591	slr0377		Slr0377 protein	409	45,915		syn:slr0377;
Q6YRV1	sll6053		Sll6053 protein	471	52,720		syn:sll6053;
P73329	slr1901		ABC transporter	326	36,621		syn:slr1901;
P74453	sll0148		Sll0148 protein	735	78,501		syn:sll0148;
P74693	slr0454		Cation or drug efflux system protein	909	97,674		syn:slr0454;
Q55365	slr0897		Endoglucanase (EC 3.2.1.4)	1070	112,132	3.2.1.4	syn:slr0897;
P73288	sll1825		Aklaviketone reductase	210	21,976		syn:sll1825;
P73579	slr0890		Slr0890 protein	131	14,188		syn:slr0890;
P73337	sll1124		Sensory transduction histidine kinase	1371	154,569		syn:sll1124;
Q55882	slr0109		Slr0109 protein	318	35,825		syn:slr0109;
P74768	ssr1527		Ssr1527 protein	81	9,024		syn:ssr1527;
P74146	ssl2717		Ssl2717 protein	70	7,921		syn:ssl2717;
P72918	slr1081		Slr1081 protein	210	23,888		syn:slr1081;
Q55659	sll0022		Sll0022 protein	249	26,643		syn:sll0022;
P73758	slr0864		ABC transporter	574	65,027		syn:slr0864;
P72697	bcp	bcp	Bacterioferritin comigratory protein	160	17,584		syn:slr0242;
P72734	sll1041		ABC transporter	260	28,657		syn:sll1041;
Q6ZEL5	slr5115		Slr5115 protein	137	15,324		syn:slr5115;
P74170	sll1372		Sll1372 protein	275	30,970		syn:sll1372;
P73176	sll1291		PatA subfamily	401	44,661		syn:sll1291;
P73710	rpoD	rpoD	RNA polymerase sigma factor	369	42,363		syn:sll1689;
P72605	slr1484		Slr1484 protein	532	55,470		syn:slr1484;
P74705	slr1178		Slr1178 protein	155	16,611		syn:slr1178;
P74539	sll1333		Sll1333 protein	235	25,688		syn:sll1333;
P73166	ssr2317		Ssr2317 protein	90	10,286		syn:ssr2317;
P73578	ssr1499		Ssr1499 protein	89	9,839		syn:ssr1499;
P73944	sll1424		Sll1424 protein	491	55,645		syn:sll1424;
Q55941	sll0790		Sensory transduction histidine kinase	458	51,035		syn:sll0790;
P74500	slr1940		Slr1940 protein	482	51,261		syn:slr1940;
Q55120	accB	accB	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	154	16,313		syn:slr0435;
P74339	slr1624		Slr1624 protein	458	51,009		syn:slr1624;
Q55956	sll0778		ABC transporter	790	87,657		syn:sll0778;
P74789	sll0319		Sll0319 protein	297	32,316		syn:sll0319;
P74295	slr1694		Activator of photopigment and puc expression	150	17,342		syn:slr1694;
P74021	hoxY	hoxY	Hydrogenase small subunit	182	19,958		syn:sll1224;
Q55164	natA	natA	Conserved component of ABC transporter for natural amino acids	267	29,062		syn:slr0467;
P72688	nusA	nusA	Transcription termination/antitermination protein NusA	458	51,331		syn:slr0743;
Q6YRU3	ssl6061		Ssl6061 protein	68	7,642		syn:ssl6061;
P73924	slr2096		Transposase	138	16,489		syn:slr2096;
Q55496	sll0493		Sll0493 protein	228	25,169		syn:sll0493;
Q55401	sll0543		Sll0543 protein	148	16,473		syn:sll0543;
P74806	ssl1277		Transposase	65	7,564		syn:ssl1277;
P72607	slr1488		ABC transporter	605	67,066		syn:slr1488;
Q55993	sll0739		ABC transporter	615	68,163		syn:sll0739;
P72919	slr1082		Slr1082 protein	136	15,774		syn:slr1082;
Q55614	livG	livG	High-affinity branched-chain amino acid transport ATP-binding protein	373	41,194		syn:sll0764;
Q55548	slr0338		Slr0338 protein	364	39,935		syn:slr0338;
P74599	slr1567		Slr1567 protein	765	85,408		syn:slr1567;
Q55388	sll0556		Sll0556 protein	631	67,361		syn:sll0556;
P73723	sdhB	sdhB	Fumarate reductase iron-sulfur subunit (EC 1.3.5.4)	331	36,809	1.3.5.4	syn:sll1625;
P72676	nifS	nifS	Cysteine desulfurase (EC 2.8.1.7)	391	42,481	2.8.1.7	syn:sll0704;
P73282	tktA	tktA	Transketolase (EC 2.2.1.1)	670	71,725	2.2.1.1	syn:sll1070;
P74278	sll1560		Transposase	338	39,258		syn:sll1560;
P73567	psr	psr	Regulation of penicillin binding protein 5 production	481	53,110		syn:slr0883;
P74753	slr0606		Slr0606 protein	317	34,767		syn:slr0606;
P74665	gst1	gst1	Glutathione S-transferase	271	29,765		syn:sll1545;
P72868	sll0931		Sll0931 protein	156	16,589		syn:sll0931;
P74183	rffM	rffM	UDP-N-acetyl-D-mannosaminuronic acid transferase	246	28,126		syn:slr1271;
P73868	ssr2912		Ssr2912 protein	85	9,152		syn:ssr2912;
P73164	ssr2315		Ssr2315 protein	71	7,712		syn:ssr2315;
Q55762	sll0188		Sll0188 protein	501	52,392		syn:sll0188;
Q6ZEC1	sll7077		Sll7077 protein	193	21,770		syn:sll7077;
P74259	slr1670		Slr1670 protein	885	101,492		syn:slr1670;
Q6ZE52	sll8040		HNHc domain-containing protein	249	29,296		syn:sll8040;
P74512	slr1950		Cation-transporting ATPase E1-E2 ATPase	780	82,572		syn:slr1950;
P74140	sll1870		ABC transporter	226	25,496		syn:sll1870;
P74282	slr1686		Slr1686 protein	141	15,499		syn:slr1686;
P72782	bvdR	bvdR	Biliverdin reductase	328	36,641		syn:slr1784;
P74563	sll0630		Sll0630 protein	145	16,468		syn:sll0630;
Q55934	slr0793		Slr0793 protein	215	22,047		syn:slr0793;
Q6ZET9	sll5041		Mutator family transposase	182	20,688		syn:sll5041;
P74127	sll1878		ABC transporter	368	40,620		syn:sll1878;
P73102	slr1907		Slr1907 protein	179	19,447		syn:slr1907;
P73375	ilvA	ilvA	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	508	56,546	4.3.1.19	syn:slr2072;
P74025	sll1220		Potential NAD-reducing hydrogenase subunit	173	18,760		syn:sll1220;
O06944	sll0737		Sll0737 protein	861	96,683		syn:sll0737;
P74661	slr1660		Slr1660 protein	192	20,865		syn:slr1660;
P74315	slr0948		Slr0948 protein	215	23,830		syn:slr0948;
Q6ZEC2	slr7076		Slr7076 protein	129	13,863		syn:slr7076;
Q55649	slr0354		ABC transporter	210	23,282		syn:slr0354;
P74370	slr1648		Dioxygenase (EC 1.13.11.-)	480	54,058	1.13.11.-	syn:slr1648;
P73427	slr1543		DNA-damage-inducible protein	472	51,676		syn:slr1543;
P74569	lysC	lysC	Aspartate kinase (EC 2.7.2.4)	600	63,534	2.7.2.4	syn:slr0657;
P74053	entC	entC	Isochorismate synthase (EC 5.4.4.2)	474	52,667	5.4.4.2	syn:slr0817;
